name,osm_id,county,distance_miles,highway_type,surface,difficulty,ref,num_coordinates
Trail 836611377,836611377,Unknown,0.019,footway,unknown,unknown,,7
Trail 836611384,836611384,Unknown,0.019,footway,unknown,unknown,,5
Trail 837647562,837647562,Unknown,0.019,track,unknown,unknown,,3
Trail 863200994,863200994,Unknown,0.019,footway,concrete,unknown,,3
Trail 892777941,892777941,Unknown,0.019,footway,concrete,unknown,,5
Trail 893139418,893139418,Unknown,0.019,footway,asphalt,unknown,,3
Trail 893142129,893142129,Unknown,0.019,footway,concrete,unknown,,2
Trail 894729301,894729301,Unknown,0.019,footway,concrete,unknown,,2
Trail 897229120,897229120,Unknown,0.019,footway,concrete,unknown,,2
Trail 897289632,897289632,Unknown,0.019,footway,concrete,unknown,,2
Trail 897289650,897289650,Unknown,0.019,footway,concrete,unknown,,3
Trail 912172090,912172090,Unknown,0.019,footway,unknown,unknown,,3
Trail 931404618,931404618,Unknown,0.019,footway,unknown,unknown,,2
Trail 945136732,945136732,Unknown,0.019,path,ground,hiking,,5
Trail 977084487,977084487,Unknown,0.019,path,ground,unknown,,5
Trail 995059031,995059031,Unknown,0.019,footway,unknown,unknown,,3
Trail 1020997832,1020997832,Unknown,0.019,path,unknown,unknown,,7
Trail 1024716040,1024716040,Unknown,0.019,footway,compacted,unknown,,3
Trail 1026261986,1026261986,Unknown,0.019,footway,paving_stones,unknown,,6
Berm Park,1026585110,Unknown,0.019,cycleway,unknown,unknown,,3
Trail 1028739822,1028739822,Unknown,0.019,path,unknown,unknown,,4
Trail 1031683343,1031683343,Unknown,0.019,footway,unknown,unknown,,2
Conleys Creek Road,1056215817,Unknown,0.019,track,gravel,grade2,,3
Trail 1082744157,1082744157,Unknown,0.019,footway,unknown,unknown,,4
Baxter Creek Trail,1088497804,Unknown,0.019,path,ground,unknown,,2
Trail 1090595723,1090595723,Unknown,0.019,footway,unknown,unknown,,22
Trail 1103344491,1103344491,Unknown,0.019,footway,concrete,unknown,,14
Trail 1150441169,1150441169,Unknown,0.019,footway,asphalt,unknown,,6
Trail 1173091118,1173091118,Unknown,0.019,footway,unknown,unknown,,8
Trail 1192135843,1192135843,Unknown,0.019,footway,unknown,unknown,,9
Trail 1196606885,1196606885,Unknown,0.019,footway,unknown,unknown,,9
Trail 1199945016,1199945016,Unknown,0.019,track,unknown,unknown,,3
Trail 1236900895,1236900895,Unknown,0.019,footway,unknown,unknown,,3
Trail 1240038762,1240038762,Unknown,0.019,footway,asphalt,unknown,,4
Trail 1249358972,1249358972,Unknown,0.019,footway,unknown,unknown,,4
Trail 1285763827,1285763827,Unknown,0.019,footway,unknown,unknown,,5
Trail 1286611693,1286611693,Unknown,0.019,footway,concrete,unknown,,2
Trail 1286627336,1286627336,Unknown,0.019,footway,concrete,unknown,,2
Trail 1297138944,1297138944,Unknown,0.019,footway,concrete,unknown,,4
Trail 1297147193,1297147193,Unknown,0.019,footway,concrete,unknown,,2
Trail 1298591161,1298591161,Unknown,0.019,footway,concrete,unknown,,7
Trail 1299457124,1299457124,Unknown,0.019,footway,unknown,unknown,,3
Trail 1301808673,1301808673,Unknown,0.019,footway,concrete,unknown,,8
Trail 1305484958,1305484958,Unknown,0.019,footway,concrete,unknown,,5
Trail 1305835104,1305835104,Unknown,0.019,footway,unknown,unknown,,3
Trail 1314716109,1314716109,Unknown,0.019,path,unknown,unknown,,5
Trail 1332924801,1332924801,Unknown,0.019,footway,unknown,unknown,,2
Trail 1338977030,1338977030,Unknown,0.019,footway,unknown,unknown,,2
Trail 1354125100,1354125100,Unknown,0.019,footway,asphalt,unknown,,3
Trail 1355443198,1355443198,Unknown,0.019,path,unknown,unknown,,3
Trail 1359854797,1359854797,Unknown,0.019,path,dirt,unknown,,3
Trail 1360136568,1360136568,Unknown,0.019,footway,unknown,unknown,,4
Trail 1370407201,1370407201,Unknown,0.019,footway,paved,unknown,,6
Moore Cove Trail,1382654753,Unknown,0.019,path,wood,unknown,318,4
Trail 1408681496,1408681496,Unknown,0.019,footway,asphalt,unknown,,5
Trail 1409921401,1409921401,Unknown,0.019,footway,gravel,unknown,,11
Trail 1412560542,1412560542,Unknown,0.019,path,unknown,unknown,,9
Trail 1416337127,1416337127,Unknown,0.019,footway,unknown,unknown,,4
Trail 1418196370,1418196370,Unknown,0.019,footway,unknown,unknown,,8
Trail 84491768,84491768,Unknown,0.018,path,ground,unknown,,2
Trail 238512866,238512866,Unknown,0.018,footway,unknown,unknown,,4
Trail 238512872,238512872,Unknown,0.018,footway,unknown,unknown,,6
Trail 265675308,265675308,Unknown,0.018,path,paved,unknown,,3
Trail 267430874,267430874,Unknown,0.018,footway,unknown,unknown,,5
Trail 267430884,267430884,Unknown,0.018,footway,unknown,unknown,,4
Trail 269664622,269664622,Unknown,0.018,footway,unknown,unknown,,2
Trail 287550730,287550730,Unknown,0.018,footway,unknown,unknown,,3
Trail 287550733,287550733,Unknown,0.018,footway,unknown,unknown,,3
Trail 288607409,288607409,Unknown,0.018,footway,unknown,unknown,,6
Trail 320761261,320761261,Unknown,0.018,footway,unknown,unknown,,9
Trail 366164748,366164748,Unknown,0.018,path,unknown,unknown,,6
Trail 369023286,369023286,Unknown,0.018,footway,concrete,unknown,,6
Hendersonville Reservoir,395681543,Henderson,0.018,track,unknown,unknown,,3
Trail 446476059,446476059,Unknown,0.018,footway,unknown,unknown,,2
Trail 446517093,446517093,Unknown,0.018,footway,unknown,unknown,,5
Trail 446568055,446568055,Unknown,0.018,footway,unknown,unknown,,4
Trail 446568065,446568065,Unknown,0.018,footway,unknown,unknown,,5
Trail 497712163,497712163,Unknown,0.018,footway,unknown,unknown,,2
Trail 533036377,533036377,Unknown,0.018,footway,unknown,unknown,,4
Trail 549989918,549989918,Unknown,0.018,footway,unknown,unknown,,6
Kuwohi Trail,586782501,Unknown,0.018,path,concrete,unknown,,5
Trail 649800245,649800245,Unknown,0.018,footway,concrete,unknown,,2
Trail 654381884,654381884,Unknown,0.018,footway,concrete,unknown,,2
Trail 654381892,654381892,Unknown,0.018,footway,concrete,unknown,,3
Trail 657007429,657007429,Unknown,0.018,track,unknown,grade3,,2
Trail 663365347,663365347,Unknown,0.018,footway,unknown,unknown,,3
Trail 693929984,693929984,Unknown,0.018,path,unknown,unknown,,4
Trail 705455798,705455798,Unknown,0.018,path,gravel,unknown,,2
Trail 721055535,721055535,Unknown,0.018,footway,concrete,unknown,,8
Trail 726024289,726024289,Unknown,0.018,footway,brick,unknown,,6
Trail 728098233,728098233,Unknown,0.018,footway,unknown,unknown,,5
Trail 728881640,728881640,Unknown,0.018,footway,unknown,unknown,,26
Trail 728881643,728881643,Unknown,0.018,footway,unknown,unknown,,27
Trail 745045646,745045646,Unknown,0.018,footway,concrete,unknown,,5
Trail 745051286,745051286,Unknown,0.018,footway,concrete,unknown,,5
Trail 762542954,762542954,Unknown,0.018,path,unknown,unknown,,4
Trail 770946784,770946784,Unknown,0.018,footway,unknown,unknown,,6
Trail 830182937,830182937,Unknown,0.018,footway,unknown,unknown,,4
Trail 831355944,831355944,Unknown,0.018,footway,concrete,unknown,,4
Trail 831361072,831361072,Unknown,0.018,footway,asphalt,unknown,,7
Trail 836409461,836409461,Unknown,0.018,footway,unknown,unknown,,3
Trail 863200966,863200966,Unknown,0.018,footway,concrete,unknown,,2
Trail 863200995,863200995,Unknown,0.018,footway,unknown,unknown,,3
Trail 893139420,893139420,Unknown,0.018,footway,asphalt,unknown,,3
Trail 894604096,894604096,Unknown,0.018,path,unknown,unknown,,4
Trail 894981533,894981533,Unknown,0.018,footway,asphalt,unknown,,4
Trail 894981534,894981534,Unknown,0.018,footway,asphalt,unknown,,4
Trail 912172094,912172094,Unknown,0.018,footway,unknown,unknown,,4
Moore Cove Trail,912440868,Unknown,0.018,path,wood,unknown,318,3
Trail 931404597,931404597,Unknown,0.018,footway,unknown,unknown,,5
Trail 931404606,931404606,Unknown,0.018,footway,unknown,unknown,,2
"Caution, steep grade",952811479,Unknown,0.018,path,unknown,unknown,,6
Trail 958322564,958322564,Unknown,0.018,footway,unknown,unknown,,7
Trail 980733169,980733169,Unknown,0.018,footway,unknown,unknown,,3
Trail 992349976,992349976,Unknown,0.018,footway,concrete,unknown,,2
Trail 995059044,995059044,Unknown,0.018,footway,unknown,unknown,,3
Trail 1031683341,1031683341,Unknown,0.018,footway,unknown,unknown,,3
Little Green Trail,1032705597,Unknown,0.018,path,wood,unknown,TR 485,6
Trail 1033329129,1033329129,Unknown,0.018,footway,unknown,unknown,,4
Trail 1081054017,1081054017,Unknown,0.018,footway,unknown,unknown,,3
Trail 1090595731,1090595731,Unknown,0.018,footway,unknown,unknown,,7
Trail 1097349196,1097349196,Unknown,0.018,cycleway,unknown,unknown,,4
Trail 1115316856,1115316856,Unknown,0.018,footway,gravel,unknown,,8
Berm Park,1115629108,Unknown,0.018,cycleway,unknown,unknown,,2
Trail 1150811788,1150811788,Unknown,0.018,footway,asphalt,unknown,,4
Trail 1185551435,1185551435,Unknown,0.018,footway,concrete,unknown,,6
Trail 1204801540,1204801540,Unknown,0.018,footway,unknown,unknown,,5
Trail 1234597634,1234597634,Unknown,0.018,footway,unknown,unknown,,2
Trail 1240031950,1240031950,Unknown,0.018,footway,concrete,unknown,,7
Trail 1240038789,1240038789,Unknown,0.018,footway,asphalt,unknown,,4
Trail 1254092911,1254092911,Unknown,0.018,footway,unknown,unknown,,2
Trail 1279518149,1279518149,Unknown,0.018,footway,unknown,unknown,,6
Trail 1286706257,1286706257,Unknown,0.018,footway,asphalt,unknown,,3
Trail 1287420118,1287420118,Unknown,0.018,footway,concrete,unknown,,11
Trail 1290776429,1290776429,Unknown,0.018,footway,unknown,unknown,,4
Trail 1299457114,1299457114,Unknown,0.018,footway,unknown,unknown,,3
Trail 1299457185,1299457185,Unknown,0.018,footway,unknown,unknown,,5
Upper Pump Track,1303315025,Unknown,0.018,cycleway,dirt,unknown,,11
Catawba Falls River Trail,1305574250,Unknown,0.018,path,wood,unknown,,2
Trail 1305833549,1305833549,Unknown,0.018,footway,asphalt,unknown,,5
Trail 1305833568,1305833568,Unknown,0.018,footway,unknown,unknown,,2
Trail 1322293969,1322293969,Unknown,0.018,track,unknown,grade2,,2
Trail 1358488057,1358488057,Unknown,0.018,path,dirt,unknown,,5
Trail 1368406964,1368406964,Unknown,0.018,footway,unknown,unknown,,9
Trail 1382587326,1382587326,Unknown,0.018,footway,paving_stones,unknown,,2
Trail 1382628021,1382628021,Unknown,0.018,cycleway,paved,unknown,,2
Trail 1408693671,1408693671,Unknown,0.018,footway,brick,unknown,,3
Trail 1409534776,1409534776,Unknown,0.018,footway,unknown,unknown,,4
Trail 1413076258,1413076258,Unknown,0.018,footway,concrete,unknown,,21
Trail 1413076276,1413076276,Unknown,0.018,footway,concrete,unknown,,3
Trail 1413601134,1413601134,Unknown,0.018,footway,unknown,unknown,,3
Trail 1436598052,1436598052,Unknown,0.018,footway,unknown,unknown,,20
Trail 1436598053,1436598053,Unknown,0.018,footway,unknown,unknown,,21
Mount Pisgah Trail,81137732,Unknown,0.017,path,ground,unknown,,2
Trail 84491764,84491764,Unknown,0.017,path,ground,unknown,,2
Streamside Trail,112927504,Unknown,0.017,path,ground,unknown,,3
Trail 239020256,239020256,Unknown,0.017,footway,unknown,unknown,,8
Trail 239141417,239141417,Unknown,0.017,footway,unknown,unknown,,6
Conservation Road,266891764,Unknown,0.017,track,wood,grade1,,2
Trail 271623130,271623130,Unknown,0.017,footway,unknown,unknown,,8
Trail 271791583,271791583,Unknown,0.017,footway,unknown,unknown,,3
Trail 287550731,287550731,Unknown,0.017,footway,unknown,unknown,,7
Trail 288607376,288607376,Unknown,0.017,footway,concrete,unknown,,3
Trail 294112191,294112191,Unknown,0.017,path,dirt,unknown,,3
Trail 294268268,294268268,Unknown,0.017,path,dirt,unknown,,2
Trail 313561290,313561290,Unknown,0.017,footway,unknown,unknown,,8
Trail 325995671,325995671,Unknown,0.017,footway,unknown,unknown,,9
Trail 395681551,395681551,Unknown,0.017,footway,unknown,unknown,,3
Trail 446477344,446477344,Unknown,0.017,footway,unknown,unknown,,3
Trail 446561911,446561911,Unknown,0.017,footway,unknown,unknown,,3
Trail 446561917,446561917,Unknown,0.017,footway,unknown,unknown,,3
Trail 449485792,449485792,Unknown,0.017,footway,unknown,unknown,,6
Trail 452768356,452768356,Henderson,0.017,track,gravel,grade2,,6
Graveyard Ridge Trail,453604224,Unknown,0.017,track,unpaved,mountain_hiking,GRT,3
Yellow Gap Road,481453256,Transylvania,0.017,track,gravel,grade1,NFD 1206,2
Trail 482928044,482928044,Unknown,0.017,footway,unknown,unknown,,7
Trail 495927897,495927897,Unknown,0.017,track,gravel,grade2,,7
Trail 497735497,497735497,Unknown,0.017,footway,unknown,unknown,,4
Trail 549989920,549989920,Unknown,0.017,footway,unknown,unknown,,5
Trail 569450326,569450326,Unknown,0.017,footway,unknown,unknown,,3
Trail 597047270,597047270,Unknown,0.017,footway,brick,unknown,,4
Trail 597075637,597075637,Unknown,0.017,footway,asphalt,unknown,,3
Trail 597403373,597403373,Unknown,0.017,footway,brick,unknown,,3
Trail 649800273,649800273,Unknown,0.017,footway,concrete,unknown,,3
Trail 663351522,663351522,Unknown,0.017,footway,asphalt,unknown,,5
Trail 663589352,663589352,Unknown,0.017,path,ground,mountain_hiking,,5
Trail 676719107,676719107,Unknown,0.017,footway,unknown,unknown,,4
Trail 688795628,688795628,Unknown,0.017,footway,concrete,unknown,,3
Trail 688795653,688795653,Unknown,0.017,footway,unknown,unknown,,4
Trail 688795681,688795681,Unknown,0.017,footway,unknown,unknown,,4
Lunch Rock Trail,692026070,Unknown,0.017,path,ground,mountain_hiking,,9
Trail 693923812,693923812,Unknown,0.017,path,unknown,unknown,,5
Trail 732146820,732146820,Unknown,0.017,footway,concrete,unknown,,2
Trail 742354329,742354329,Unknown,0.017,footway,unknown,unknown,,2
Trail 827504566,827504566,Unknown,0.017,footway,concrete,unknown,,4
Trail 827510880,827510880,Unknown,0.017,footway,concrete,unknown,,2
Trail 830182914,830182914,Unknown,0.017,footway,unknown,unknown,,3
Trail 830190944,830190944,Unknown,0.017,footway,unknown,unknown,,6
Trail 831976272,831976272,Unknown,0.017,footway,concrete,unknown,,2
Trail 836409464,836409464,Unknown,0.017,footway,unknown,unknown,,5
Trail 836611376,836611376,Unknown,0.017,footway,unknown,unknown,,2
Fletcher Creek Road,840275775,Unknown,0.017,track,gravel,unknown,,2
Trail 863200971,863200971,Unknown,0.017,footway,unknown,unknown,,4
Trail 866143195,866143195,Unknown,0.017,path,ground,unknown,,9
Trail 867135838,867135838,Unknown,0.017,footway,asphalt,unknown,,4
Trail 867135840,867135840,Unknown,0.017,footway,asphalt,unknown,,4
French Broad River Greenway East,889957943,Unknown,0.017,cycleway,paved,unknown,,2
Trail 893139419,893139419,Unknown,0.017,footway,asphalt,unknown,,3
Trail 894675280,894675280,Unknown,0.017,footway,concrete,unknown,,2
Trail 894972615,894972615,Unknown,0.017,footway,unknown,unknown,,3
Trail 894981528,894981528,Unknown,0.017,footway,concrete,unknown,,2
Trail 894991326,894991326,Unknown,0.017,footway,asphalt,unknown,,3
Trail 897229118,897229118,Unknown,0.017,footway,concrete,unknown,,2
Trail 897229123,897229123,Unknown,0.017,footway,asphalt,unknown,,2
Trail 912172071,912172071,Unknown,0.017,footway,unknown,unknown,,9
Avery Creek Road,912443034,Transylvania,0.017,track,gravel,grade2,FS 477,2
Trail 931404611,931404611,Unknown,0.017,footway,unknown,unknown,,2
Trail 931404626,931404626,Unknown,0.017,footway,unknown,unknown,,3
Old Mitchell Trail,945136734,Unknown,0.017,path,concrete,unknown,,5
Trail 945136736,945136736,Unknown,0.017,track,grass,grade5,,8
Trail 971722450,971722450,Unknown,0.017,footway,unknown,unknown,,2
Trail 976733116,976733116,Unknown,0.017,footway,concrete,unknown,,4
Trail 991999734,991999734,Unknown,0.017,footway,concrete,unknown,,5
Trail 1024716032,1024716032,Unknown,0.017,footway,paving_stones,unknown,,3
Trail 1028739827,1028739827,Unknown,0.017,path,unknown,unknown,,4
Trail 1032934654,1032934654,Unknown,0.017,footway,concrete,unknown,,3
Trail 1041315424,1041315424,Unknown,0.017,footway,unknown,unknown,,5
Trail 1041518682,1041518682,Unknown,0.017,footway,asphalt,unknown,,3
Trail 1051403992,1051403992,Unknown,0.017,footway,asphalt,unknown,,4
Conleys Creek Road,1056215818,Unknown,0.017,track,gravel,grade2,,2
Trail 1071408231,1071408231,Unknown,0.017,path,unknown,unknown,,6
Trail 1082751976,1082751976,Unknown,0.017,footway,unknown,unknown,,3
Trail 1084338898,1084338898,Unknown,0.017,footway,unknown,unknown,,3
Trail 1103341073,1103341073,Unknown,0.017,footway,unknown,unknown,,10
Trail 1103568546,1103568546,Unknown,0.017,footway,bricks,unknown,,5
Trail 1103662999,1103662999,Unknown,0.017,footway,concrete,unknown,,5
Trail 1103782995,1103782995,Unknown,0.017,footway,concrete,unknown,,2
Trail 1117691726,1117691726,Unicoi,0.017,footway,concrete,unknown,,2
Trail 1135254307,1135254307,Unknown,0.017,footway,concrete,unknown,,9
Trail 1173091116,1173091116,Unknown,0.017,footway,unknown,unknown,,3
Trail 1183710655,1183710655,Unknown,0.017,footway,concrete,unknown,,4
Trail 1185062703,1185062703,Unknown,0.017,footway,unknown,unknown,,9
Trail 1192135810,1192135810,Unknown,0.017,footway,unknown,unknown,,9
Trail 1192135864,1192135864,Unknown,0.017,footway,unknown,unknown,,6
Trail 1238122133,1238122133,Unknown,0.017,footway,unknown,unknown,,7
Trail 1240031957,1240031957,Unknown,0.017,footway,asphalt,unknown,,4
Trail 1240071765,1240071765,Unknown,0.017,footway,asphalt,unknown,,4
Trail 1249361304,1249361304,Unknown,0.017,footway,unknown,unknown,,5
Trail 1286588659,1286588659,Unknown,0.017,footway,asphalt,unknown,,3
Trail 1286692243,1286692243,Unknown,0.017,footway,concrete,unknown,,8
Trail 1286706243,1286706243,Unknown,0.017,footway,concrete,unknown,,2
Trail 1296419482,1296419482,Unknown,0.017,footway,concrete,unknown,,4
Trail 1296440398,1296440398,Unknown,0.017,footway,concrete,unknown,,6
Trail 1298591163,1298591163,Unknown,0.017,footway,concrete,unknown,,4
Trail 1299399361,1299399361,Unknown,0.017,footway,concrete,unknown,,4
French Broad River Greenway East,1301835831,Unknown,0.017,cycleway,paved,unknown,,7
Trail 1302131962,1302131962,Unknown,0.017,footway,unknown,unknown,,6
Trail 1303331563,1303331563,Unknown,0.017,footway,unknown,unknown,,7
Trail 1303792871,1303792871,Unknown,0.017,footway,paved,unknown,,2
Trail 1305484953,1305484953,Unknown,0.017,footway,concrete,unknown,,5
Trail 1305762882,1305762882,Unknown,0.017,footway,paving_stones,unknown,,14
Trail 1305835098,1305835098,Unknown,0.017,footway,unknown,unknown,,5
Trail 1305835112,1305835112,Unknown,0.017,footway,unknown,unknown,,3
Trail 1305835116,1305835116,Unknown,0.017,footway,unknown,unknown,,5
Trail 1305835118,1305835118,Unknown,0.017,footway,unknown,unknown,,3
Trail 1320094277,1320094277,Unknown,0.017,track,unknown,unknown,,3
Trail 1320429094,1320429094,Unknown,0.017,footway,unknown,unknown,,9
Trail 1328250750,1328250750,Unknown,0.017,footway,unknown,unknown,,4
Trail 1339627978,1339627978,Unknown,0.017,path,unknown,unknown,,4
Trail 1359493554,1359493554,Unknown,0.017,footway,unknown,unknown,,3
Trail 1359851249,1359851249,Unknown,0.017,path,dirt,unknown,,6
Trail 1361195475,1361195475,Unknown,0.017,footway,unknown,unknown,,3
Trail 1363354324,1363354324,Unknown,0.017,footway,unknown,unknown,,3
Trail 1366236697,1366236697,Unknown,0.017,footway,unknown,unknown,,2
Trail 1382584822,1382584822,Unknown,0.017,footway,unknown,unknown,,5
French Broad River Greenway East,1382663601,Unknown,0.017,cycleway,paved,unknown,,5
Trail 1396477108,1396477108,Unknown,0.017,path,unknown,unknown,,5
Trail 1408703854,1408703854,Unknown,0.017,footway,asphalt,unknown,,4
Trail 1408708424,1408708424,Unknown,0.017,footway,unknown,unknown,,4
Trail 1413076289,1413076289,Unknown,0.017,footway,concrete,unknown,,4
Trail 1418196357,1418196357,Unknown,0.017,footway,unknown,unknown,,2
Trail 1418196427,1418196427,Unknown,0.017,footway,unknown,unknown,,5
Trail 1420082339,1420082339,Unknown,0.017,path,unknown,unknown,,2
Trail 1435782641,1435782641,Unknown,0.017,footway,unknown,unknown,,4
Bent Creek Gap Road,16608952,Buncombe,0.016,track,unknown,unknown,FS 479,3
Mountains-to-Sea Trail,98261240,Unknown,0.016,path,unknown,mountain_hiking,,3
South Toe River Road,146253879,Yancey,0.016,track,unknown,grade1,,2
Trail 205987533,205987533,Unknown,0.016,path,unknown,unknown,,3
Trail 238512863,238512863,Unknown,0.016,footway,unknown,unknown,,3
Triple Falls Trail,263169473,Unknown,0.016,path,wood,unknown,,3
Homestead Trail,266170519,Unknown,0.016,footway,ground,hiking,,2
Trail 266737254,266737254,Unknown,0.016,cycleway,unknown,unknown,,3
Trail 269664619,269664619,Unknown,0.016,footway,unknown,unknown,,3
Trail 271791582,271791582,Unknown,0.016,footway,unknown,unknown,,20
Trail 287608263,287608263,Unknown,0.016,footway,unknown,unknown,,7
Trail 288607387,288607387,Unknown,0.016,path,concrete,unknown,,2
Trail 313559096,313559096,Unknown,0.016,footway,paving_stones,unknown,,3
Trail 313559540,313559540,Unknown,0.016,footway,unknown,unknown,,2
Trail 319596948,319596948,Unknown,0.016,footway,unknown,unknown,,4
Trail 446562440,446562440,Unknown,0.016,footway,unknown,unknown,,3
Trail 446568052,446568052,Unknown,0.016,footway,unknown,unknown,,4
Trail 449485790,449485790,Unknown,0.016,footway,unknown,unknown,,4
Trail 449485793,449485793,Unknown,0.016,footway,unknown,unknown,,5
Trail 449485823,449485823,Unknown,0.016,footway,unknown,unknown,,4
Oconaluftee River Trail,456659573,Unknown,0.016,cycleway,ground,unknown,,3
Trail 495927900,495927900,Unknown,0.016,track,unknown,grade2,,2
Trail 509686311,509686311,Unknown,0.016,path,unknown,unknown,,11
Trail 569450329,569450329,Unknown,0.016,footway,concrete,unknown,,3
Kuwohi Trail,586782500,Unknown,0.016,path,asphalt,unknown,,6
Trail 597047267,597047267,Unknown,0.016,footway,concrete,unknown,,2
Trail 597049091,597049091,Unknown,0.016,footway,brick,unknown,,2
Trail 599039080,599039080,Unknown,0.016,footway,brick,unknown,,3
Trail 601458594,601458594,Unknown,0.016,footway,unknown,unknown,,2
Trail 613506115,613506115,Unknown,0.016,footway,brick,unknown,,3
Trail 613506118,613506118,Unknown,0.016,footway,brick,unknown,,3
Trail 646449919,646449919,Unknown,0.016,track,gravel,grade1,,2
Trail 649756502,649756502,Unknown,0.016,footway,concrete,unknown,,8
Trail 649800223,649800223,Unknown,0.016,footway,concrete,unknown,,5
Trail 649800249,649800249,Unknown,0.016,footway,concrete,unknown,,6
Trail 649800258,649800258,Unknown,0.016,footway,concrete,unknown,,3
Trail 649800268,649800268,Unknown,0.016,footway,concrete,unknown,,7
Glassmine Falls Overlook,663602817,Unknown,0.016,footway,asphalt,unknown,,5
Trail 667496701,667496701,Unknown,0.016,footway,unknown,unknown,,5
Trail 676719111,676719111,Unknown,0.016,footway,unknown,unknown,,5
Trail 687476929,687476929,Unknown,0.016,footway,unknown,unknown,,3
Trail 687476930,687476930,Unknown,0.016,footway,unknown,unknown,,5
Trail 688795640,688795640,Unknown,0.016,footway,unknown,unknown,,4
Trail 688795654,688795654,Unknown,0.016,footway,unknown,unknown,,4
Trail 688795671,688795671,Unknown,0.016,footway,unknown,unknown,,4
Jerry Miller Trail,693048982,Unknown,0.016,path,unknown,unknown,,2
Rock Ledge Road,694694341,Unknown,0.016,track,unknown,grade2,,4
Trail 721190090,721190090,Unknown,0.016,footway,asphalt,unknown,,3
Bearwallow Valley Trail,725731997,Unknown,0.016,path,ground,mountain_hiking,,9
Trail 744931504,744931504,Unknown,0.016,footway,unknown,unknown,,5
Trail 745051289,745051289,Unknown,0.016,footway,concrete,unknown,,4
Trail 756259540,756259540,Unknown,0.016,footway,asphalt,unknown,,7
Trail 756259562,756259562,Unknown,0.016,footway,unknown,unknown,,5
Trail 770946783,770946783,Unknown,0.016,footway,unknown,unknown,,2
Trail 777876634,777876634,Unknown,0.016,footway,unknown,unknown,,3
Trail 780230726,780230726,Unknown,0.016,footway,unknown,unknown,,5
Trail 827504572,827504572,Unknown,0.016,footway,concrete,unknown,,2
Trail 827509134,827509134,Unknown,0.016,footway,concrete,unknown,,2
Trail 829906206,829906206,Unknown,0.016,cycleway,asphalt,unknown,,2
Trail 830182935,830182935,Unknown,0.016,footway,unknown,unknown,,4
Trail 830186730,830186730,Unknown,0.016,footway,unknown,unknown,,5
Trail 831361074,831361074,Unknown,0.016,footway,asphalt,unknown,,5
Trail 831965926,831965926,Unknown,0.016,footway,concrete,unknown,,3
Trail 831967604,831967604,Unknown,0.016,footway,concrete,unknown,,2
Trail 836270852,836270852,Unknown,0.016,footway,unknown,unknown,,6
Trail 863195581,863195581,Unknown,0.016,footway,concrete,unknown,,4
Trail 867135842,867135842,Unknown,0.016,footway,concrete,unknown,,3
French Broad River Greenway East,889957941,Unknown,0.016,cycleway,paved,unknown,,2
Trail 893131489,893131489,Unknown,0.016,footway,asphalt,unknown,,4
Trail 893138629,893138629,Unknown,0.016,footway,asphalt,unknown,,4
Paint Pond Road,894266539,Unknown,0.016,track,dirt,grade2,FS 41P,2
Trail 894675287,894675287,Unknown,0.016,footway,concrete,unknown,,2
Trail 894729314,894729314,Unknown,0.016,footway,asphalt,unknown,,3
Trail 894729343,894729343,Unknown,0.016,footway,asphalt,unknown,,5
Trail 894972607,894972607,Unknown,0.016,footway,unknown,unknown,,2
Trail 894972610,894972610,Unknown,0.016,footway,unknown,unknown,,7
Trail 894972619,894972619,Unknown,0.016,footway,unknown,unknown,,3
Trail 897151682,897151682,Unknown,0.016,footway,asphalt,unknown,,3
Trail 897252315,897252315,Unknown,0.016,footway,asphalt,unknown,,4
Trail 897252319,897252319,Unknown,0.016,footway,concrete,unknown,,4
Trail 902321742,902321742,Unknown,0.016,footway,unknown,unknown,,9
Trail 911556039,911556039,Unknown,0.016,footway,unknown,unknown,,3
Trail 912172098,912172098,Unknown,0.016,footway,unknown,unknown,,3
Trail 916568096,916568096,Unknown,0.016,path,concrete,unknown,,7
Trail 926427221,926427221,Unknown,0.016,footway,unknown,unknown,,3
Trail 931404600,931404600,Unknown,0.016,footway,unknown,unknown,,4
Trail 931404613,931404613,Unknown,0.016,footway,unknown,unknown,,2
Deep Creek Trail,943764564,Unknown,0.016,track,unknown,grade1,,2
Trail 958322556,958322556,Unknown,0.016,footway,unknown,unknown,,4
Trail 958538476,958538476,Unknown,0.016,footway,unknown,unknown,,2
Trail 979303659,979303659,Unknown,0.016,footway,concrete,unknown,,2
Trail 995059039,995059039,Unknown,0.016,footway,unknown,unknown,,3
Trail 1026261987,1026261987,Unknown,0.016,footway,paving_stones,unknown,,4
Trail 1050874332,1050874332,Unknown,0.016,footway,unknown,unknown,,5
Trail 1084338897,1084338897,Unknown,0.016,footway,unknown,unknown,,3
Trail 1084338900,1084338900,Unknown,0.016,footway,unknown,unknown,,3
Trail 1084346494,1084346494,Unknown,0.016,footway,unknown,unknown,,3
Trail 1084346603,1084346603,Unknown,0.016,footway,unknown,unknown,,3
Trail 1086493911,1086493911,Unknown,0.016,footway,unknown,unknown,,3
Trail 1090595732,1090595732,Unknown,0.016,footway,unknown,unknown,,8
Trail 1092172488,1092172488,Unknown,0.016,path,unknown,unknown,,3
Trail 1103666341,1103666341,Unknown,0.016,footway,bricks,unknown,,2
Seven Falls Parkway,1138195229,Unknown,0.016,track,unknown,unknown,,2
