name,osm_id,county,distance_miles,highway_type,surface,difficulty,ref,num_coordinates
Trail 1305774842,1305774842,Unknown,0.233,footway,concrete,unknown,,12
Trail 248605661,248605661,Unknown,0.232,footway,unknown,unknown,,39
Old Mitchell Toll Road,543309867,Buncombe,0.232,track,ground,grade4,,37
Poplar Cove Horse Trail,708519189,Unknown,0.232,path,ground,unknown,TR 22,22
Trail 729208037,729208037,Unknown,0.232,footway,unknown,unknown,,26
Trail 827507427,827507427,Unknown,0.232,footway,concrete,unknown,,13
Trail 938601879,938601879,Unknown,0.232,path,unknown,unknown,,31
Trail 957708720,957708720,Unknown,0.232,track,unknown,grade3,,25
Trail 965081719,965081719,Unknown,0.232,footway,asphalt,unknown,,22
Trail 1180534877,1180534877,Unknown,0.232,path,ground,unknown,,13
Trail 1286692224,1286692224,Unknown,0.232,footway,concrete,unknown,,17
Trail 492380276,492380276,Unknown,0.231,track,unknown,unknown,,13
Trail 1305774839,1305774839,Unknown,0.231,footway,concrete,unknown,,18
Trail 1339627989,1339627989,Unknown,0.231,path,unknown,unknown,,39
Trail 12400305,12400305,Greenville,0.23,track,unknown,grade3,,11
Appalachian Trail,30667999,Unknown,0.23,path,unknown,unknown,,27
John P. Gregg Memorial Greenway,267071418,Unknown,0.23,footway,dirt,unknown,,17
Trail 757459514,757459514,Unknown,0.23,track,unknown,unknown,,20
Trail 862205328,862205328,Unknown,0.23,footway,unknown,unknown,,25
Trail 958304719,958304719,Unknown,0.23,track,unknown,grade3,,16
Mountains-to-Sea Trail,1306053095,Unknown,0.23,path,unknown,hiking,,17
Trail 1355443200,1355443200,Unknown,0.23,path,unknown,unknown,,17
Chestnut Cove,277164912,Unknown,0.229,path,unknown,unknown,,28
Trail 764484235,764484235,Unknown,0.229,track,unknown,unknown,FS 109,12
Trail 815669681,815669681,Unknown,0.229,track,unknown,grade2,,18
Trail 1110469140,1110469140,Unknown,0.229,track,unknown,unknown,,12
Trail 1176345214,1176345214,Unknown,0.229,track,unknown,unknown,,13
Grassy Cove Top,1294763790,Unknown,0.229,path,unknown,unknown,,111
Trail 351391082,351391082,Unknown,0.228,footway,unknown,unknown,,14
Trail 909665010,909665010,Unknown,0.228,path,unknown,unknown,,45
Trail 1234275114,1234275114,Unknown,0.228,track,unknown,unknown,,27
Bent Creek Trail,271782270,Unknown,0.227,path,ground,hiking,,16
Trail 276601257,276601257,Unknown,0.227,track,unknown,grade4,,22
Lower Indian-Queen Cemetery Access,288576432,Unknown,0.227,track,ground,unknown,,20
Trail 551726756,551726756,Unknown,0.227,track,unknown,unknown,,21
Trail 1319664521,1319664521,Unknown,0.227,track,unknown,unknown,,12
Trail 1319860355,1319860355,Unknown,0.227,track,unknown,unknown,,18
Rodeo,1420082353,Unknown,0.227,path,unknown,unknown,,33
Art Loeb Trail,98441980,Unknown,0.226,cycleway,ground,unknown,,11
Homestead Trail,178174608,Unknown,0.226,footway,ground,hiking,,24
Native Azalea Garden,408999362,Unknown,0.226,footway,unknown,unknown,,34
Harveys Mountain Road,693694423,Unknown,0.226,track,unknown,grade4,,18
Trail 725732021,725732021,Unknown,0.226,track,ground,grade5,,74
Trail 729212901,729212901,Unknown,0.226,footway,unknown,unknown,,28
Trail 1112521244,1112521244,Unknown,0.226,track,ground,unknown,,20
Trail 1298591138,1298591138,Unknown,0.226,footway,concrete,unknown,,10
Trail 215422585,215422585,Unknown,0.225,footway,unknown,unknown,,18
Rice Branch Road,237616970,Buncombe,0.225,track,unknown,unknown,,12
Mountains-to-Sea Trail,627876814,Unknown,0.225,path,ground,mountain_hiking,,16
Trail 725732005,725732005,Unknown,0.225,track,ground,grade2,,51
Trail 1103042056,1103042056,Unknown,0.225,path,unknown,unknown,,21
Trail 1322799336,1322799336,Unknown,0.225,track,unknown,unknown,,12
Trail 1372198124,1372198124,Unknown,0.225,track,unknown,unknown,,29
Trail 1418196349,1418196349,Unknown,0.225,footway,unknown,unknown,,31
Trail 16624783,16624783,Jackson,0.224,track,unknown,unknown,,24
River Highlands Hiking Trail,16651695,Madison,0.224,track,unknown,unknown,,9
Trail 439437731,439437731,Unknown,0.224,path,unknown,unknown,,22
Forest Service Road 288,492458248,Haywood,0.224,track,unknown,grade2,FS 288,12
Trail 548789601,548789601,Unknown,0.224,path,unknown,unknown,,22
Trail 649792802,649792802,Unknown,0.224,footway,concrete,unknown,,16
Trail 887523268,887523268,Unknown,0.224,track,unknown,unknown,,35
Log Hollow Road,903828135,Unknown,0.224,track,unpaved,unknown,FS 5043,26
Trail 1332926675,1332926675,Unknown,0.224,footway,unknown,unknown,,23
Covered Bridge Trail,162975375,Unknown,0.223,path,unknown,unknown,,8
Trail 1081054015,1081054015,Unknown,0.223,footway,unknown,unknown,,29
Trail 1319876517,1319876517,Unknown,0.223,footway,unknown,unknown,,33
Hardtimes Spur,266170524,Buncombe,0.222,track,unknown,grade2,,26
Trail 404246410,404246410,Unknown,0.222,track,unknown,unknown,,13
Trail 542987893,542987893,Unknown,0.222,path,unknown,unknown,,17
Trail 599422925,599422925,Unknown,0.222,footway,unknown,unknown,,28
Tap Root Lane,674265106,Henderson,0.222,track,unknown,grade2,,2
Banjo Lane,693488712,Unknown,0.222,track,unknown,grade2,,29
Trail 933955833,933955833,Unknown,0.222,cycleway,unknown,unknown,,21
Wildflower Trail,1309951596,Unknown,0.222,path,ground,unknown,,27
Trail 19431107,19431107,Cocke,0.221,track,unknown,unknown,,7
Trail 369023280,369023280,Unknown,0.221,footway,concrete,unknown,,33
Trail 894604095,894604095,Unknown,0.221,path,unknown,unknown,,29
Trail 943685324,943685324,Unknown,0.221,path,unknown,unknown,,13
Trail 1305846578,1305846578,Unknown,0.221,footway,concrete,unknown,,27
Green River Trail,1331124406,Unknown,0.221,path,unknown,unknown,,36
Appalachian Trail,1337002829,Unknown,0.221,path,unknown,unknown,,34
Trail 1412560544,1412560544,Unknown,0.221,track,unknown,unknown,,30
Chimney Tops Trail,275606039,Unknown,0.22,path,ground,unknown,,23
Skye Drive,962155833,Transylvania,0.22,track,unknown,unknown,,12
R L Williams Way,1186452066,Sevier,0.22,path,unknown,unknown,,19
Trail 1217874806,1217874806,Unknown,0.22,footway,concrete,unknown,,13
Trail 1263624531,1263624531,Unknown,0.22,footway,unknown,unknown,,27
Mine Mountain Trail - Reroute,1420039369,Unknown,0.22,cycleway,dirt,unknown,,9
Trail 16587326,16587326,Haywood,0.219,track,unknown,unknown,,25
Lewis Road,16598375,Haywood,0.219,track,unknown,unknown,,11
Trail 720915009,720915009,Unknown,0.219,footway,unknown,unknown,,21
Trail 866844373,866844373,Unknown,0.219,track,unknown,unknown,,29
Trail 895340275,895340275,Unknown,0.219,path,unknown,unknown,,36
